,amp1mean,amp100dstd,amp10dstd,amp100dmean,power5,amp1dskew,amp100dkurt,amp10skew,power2,power1,amp1000std,amp1000dskew,amp1skew,amp100skew,amp10dskew,amp10std,amp1000dstd,power9,power4,amp100kurt,power10,power7,amp10dkurt
Adele\01 Hometown Glory.mp3,0.23219621357300474,-1.2935111999143818,-0.0678513231098981,0.1701050379051325,-0.6978454413698684,2.3809943085625447,-0.8185315307000952,1.348842400481492,1.4608361977218414,-1.3910994129952161,-1.2274850497842713,0.9384952588416423,2.872943915854978,-0.5366836845095309,-0.3655575322669355,-1.095316162285912,-1.2457645321941138,-0.1834291872935872,1.737043694850082,-0.8518557677379158,-1.4005755339959352,-1.5868648506445198,-0.29971430106559954
Adele\02 I'll Be Waiting.mp3,0.18014576611819483,-0.6778086681367972,0.23456140517306734,0.49650438018563214,1.0153128275258057,0.7574927899069368,-1.079415117777436,-0.28848882242404755,0.07607365255744791,-0.6173426763001886,-0.619814587195183,0.1587713306041744,0.5829738899424582,-0.3696259803755727,-0.9411750539100325,-0.3724694905447815,-0.5897023061811774,-0.18049173124402487,1.2283122706414915,-1.083538894317187,-0.8543670920555442,-0.2944300252674808,-0.984250942759597
Adele\03 Don't You Remember.mp3,0.14585867878316855,-0.5291599935471694,-0.14349254494438796,0.3937615335092933,0.054521788276453355,0.9014081001706509,-1.0483084339930338,-0.16584205837729438,0.43666041105645875,-1.288156145418561,-0.5376774891871124,0.4899829704317939,1.0832309240063789,0.40297608378762934,0.5774158951085168,-0.47431374082282113,-0.5584230183869067,1.5080877648260353,1.3892714968054989,-1.0701499404698738,-1.493971576417181,-0.5072369830237057,-0.7773012023830428
Adele\04 Turning Tables.mp3,0.24604582301220554,-1.3034411241373323,0.16610115059285818,0.44099353865760804,0.15323756049902093,1.3054539452180731,-0.8490449730421036,0.532262320710545,0.7420170843569042,-2.0223662807171925,-1.2793047722350164,-0.5504015362279333,1.5226745592116968,-0.09614260293480646,-0.5343376119699511,-1.0861464757249288,-1.2926984823360805,1.768903080281938,1.6732819760969024,-0.9187599965673644,0.2959784893935019,-0.5516819918159841,-0.9985187707114344
Adele\05 Set Fire To The Rain.mp3,0.2066215708088696,-0.6209277499050192,-0.4886824552629905,1.4134903271248414,0.32309893405863455,1.195438153688773,-1.16241683015398,-0.09302541564055893,0.6477544864593265,-1.0751013081647556,-0.5803859152808973,0.8096682789043828,0.9490751126469145,-0.21146845502021758,0.15600276159364163,-0.5472238709571412,-0.5650796717284554,0.41011566905512614,1.905748258462378,-1.1779132309669502,-0.9732251261843959,-0.7117713659209477,-0.9271081742025787
Adele\06 If It Hadn't Been For Love.mp3,0.2800587837177129,-0.7179428516340686,-0.5177211955540304,-0.06164553034836347,0.13122967039151628,1.0860252786428832,-0.8680283443157198,2.315547560778366,0.34651562833715505,-1.41250729609048,-0.7430907697552543,-0.2504828868387294,0.9951250694681429,-1.4367675213357203,-0.21741832555415294,-0.830217343047541,-0.7405534427355973,0.46071012131723604,1.1030947843132524,-0.8841024974512409,-0.5370547356829162,-0.708629227314793,-0.6560838356550661
Adele\08 Take It All.mp3,0.24695482903776514,-1.2789879086169107,-0.3221220021734214,0.14396097005879552,3.3736829097554963,1.0761507758071949,-0.9091903194271226,1.3327804033908375,0.808432050857114,-2.0744879446714246,-1.341740616347519,0.6120340447082986,2.9544021735740755,-0.19346068538354233,-0.9093836044708241,-1.2595921923573725,-1.350805203592805,0.5090160149869044,1.0968180717102725,-0.9151476961404947,-0.9740191674274167,0.014864586078317345,-0.8297346512304942
Adele\09 Rumour Has It.mp3,0.2469038613412345,-0.692260951794249,0.20232489907826198,0.5441201253893357,-0.44422270239705863,0.6836212962314576,-0.8114747501087614,-0.20989234923786393,-0.4443402560467321,0.6531512861972013,-0.5453276794353172,0.5952603676057866,0.2737441101608798,-0.42687526406894655,-0.355843368857669,-0.26289838658969533,-0.5141749879461633,-0.05583460710574296,0.2905307650138877,-0.8461167367904721,0.10858194355384788,-1.150751789207324,-0.8897734124992775
Adele\11 One And Only.mp3,0.15533662405117196,-0.2703425300932398,-0.3181662993018056,0.6634881546496625,0.5338218958185957,1.3689479169126924,-1.066852825830337,-0.13355416165997758,-0.7926805653393136,-0.815537782900481,-0.05507309236629677,0.5891774748122325,0.5487702857433012,-0.39720969051218824,1.2546183881095792,-0.2548337613586501,0.07538792807347913,-0.045211350116268666,2.2867340075217606,-1.0771372324326136,0.27069417830098685,-0.3639533518074789,-0.8215283087353755
Adele\12 Lovesong.mp3,0.25819030721661795,-0.396465527517324,-0.12866053526098115,-0.5407876272603469,-1.5653027671585604,2.012915918350669,-0.9709745007491993,1.2658211585773802,0.4464284201901036,1.4295018383856541,-0.5152979251885789,-0.43693588268927275,1.4355412515092851,-0.6460594450516198,-0.0050629049459845815,-0.4599018998892468,-0.524719162294958,1.2549628061844493,-0.5306491775184737,-0.9672939201710306,-0.7290399040577562,-1.5034087792755833,-0.8222573463478428
Adele\13 Chasing Pavements.mp3,-0.12228680628586132,-0.3938078185464577,0.85995901935667,0.03255199379869768,0.42663285724018746,0.5130758973406666,-1.078140797163496,-0.32268484086555355,-0.15691841856942565,0.2238578753315672,-0.2520491436740222,0.5457605798479931,0.051187237946750126,-0.5544186960842836,0.3384732414829824,0.24389071249079777,-0.2920870563157529,0.11558329316240257,1.079740600869423,-1.0474504020122613,-0.29577115361754003,-0.6362396241483811,-0.8879845025758426
Adele\14 I Can't Make You Love Me.mp3,0.26674602138390247,-1.265487358905355,-0.6679715032458735,0.214203165934608,-0.1252378726442067,2.5893360794501987,-0.8961974535027739,1.048261038710044,1.126964165032316,-1.072910412867853,-1.282368419782739,0.24320320735051723,2.4332317446641714,-0.31396514686354077,0.126638411922827,-1.3210441261460257,-1.2822933709218194,0.29809415413591817,0.9655021728261372,-0.9278659703588921,-1.606250873114169,-0.990499150840808,-0.5674285920023885
Adele\15 Make You Feel My Love.mp3,0.2651584818460171,-1.2428356376747018,-0.6365516247003125,0.31943676982219443,-0.8356368882621824,2.639770255392018,-0.9829792353247138,0.9156651344094224,1.3600362852396861,-0.9735947784338149,-1.2204548638965385,0.35992331952172596,2.085552368599672,-0.09762931527947959,-0.04701839874749124,-1.246036662003273,-1.2092711119722945,-0.03615465276644141,1.295171397703796,-1.0317286255534417,-1.1006048145530534,-1.1948059100919586,-0.7494348462656921
Adele\16 Someone Like You.mp3,0.26620989426827724,-1.2890497766403217,-0.2961589824208891,-0.14020209409051093,0.28015267339166283,2.256694078444505,-0.9461471961892928,0.5064951520379353,0.7766446248860986,-2.1255432675338866,-1.346691103937731,-0.2727326353581984,1.7266000225054892,0.016602225224674187,-1.1120974148063822,-1.2493232653043322,-1.3603111542799515,0.9681830383475325,2.4907876630926986,-0.9551023482614067,-0.30521316414150845,-0.2004812022190414,-0.7369850261470888
Adele\17 Rolling In The Deep.mp3,0.22759585791588718,-0.863823688904492,0.3188773402996618,0.16915990036135778,-0.5312593688442961,0.8419135374428409,-0.817752424844099,-0.19853900099136745,0.156203274688284,0.35497795056657006,-0.7622176281179752,-0.49597910845906423,0.3017245945776782,-0.5493076631479812,0.16715748038016756,-0.29181757665784724,-0.7778023943222834,-0.010301310286045194,0.4996117360965755,-0.8057840389644275,-0.8837446126119428,-0.7096643002193421,-0.9088348010019571
BeastieBoys\01 So What'cha Want.mp3,0.04471360711874221,1.5881321031963616,2.1438842000516307,3.2611205244553982,1.001123784352587,-0.5572480651175769,0.18634963769921062,0.012437634742767774,-0.6983384080251702,0.13663514719434944,1.7021010705775608,-1.7228421278026491,-0.28078430704105806,1.4043305266901027,-0.4591153609721323,2.2974168946646305,1.5084972004326846,-0.7036244004278707,0.48221864844076756,0.2621525853118296,-0.22614352053109368,-0.46509793823368567,-0.20017417946087987
BeastieBoys\03 Ch-Check It Out.mp3,0.16319641126917345,2.3680535129675224,-0.38915800043788307,0.3109838291581261,0.01323412014372581,-1.1274462223368662,-0.6348321033923005,0.25415471426583625,-0.7960195772621257,-0.5889316364397097,3.078042931793975,0.9557889247326479,-0.15968351174360704,-0.6004789782969806,-2.174370730569306,1.2370864603527374,2.9989033685745214,0.5789985903084149,0.24110452538305857,-0.604533966991041,1.499094228685782,0.8554273074220888,0.3547320242951243
BeastieBoys\04 No Sleep Till Brooklyn.mp3,0.36253361131189327,0.567455652150588,-1.1612669534206441,0.4917076294935388,0.29167777593521205,-0.5588919652382398,1.2093827721637365,-1.2079164917164367,-2.0437258267230636,-0.5124138829505702,0.47846933216176013,0.49443390729098613,-0.9633109671622982,0.6998561905042714,-0.34929934165492765,0.6130208445866262,0.5637775447410279,3.3361887015765888,0.1350734042988481,1.3517943115578608,2.580771111211575,2.1779881277932236,0.8213626194891371
BeastieBoys\05 Hey Ladies.mp3,-4.991791500522418,0.6035439356874414,-0.7405173054023316,-0.001782081710756751,0.012028533010704506,-0.42934982090038576,1.0005454662826536,-0.08129366399652113,-0.9365794947587864,-0.1445687600996585,0.5121434020480599,-1.5182970128817368,-0.47054933649885156,0.07743657203776909,0.16823673289098792,0.28691859087018956,0.5291191934535543,-0.6909597762380273,1.2985911757775979,0.9958007862747381,0.031157328238411264,0.5808074600601525,3.1009915104128574
BeastieBoys\06 Pass the Mic.mp3,-0.09483878804708923,2.2646590742859467,0.9565588349470077,-0.23491482479342868,-0.5337996626464899,-1.5044983125322506,-0.8251024044823436,0.0515681952584147,0.04656856314367899,1.4042712378624076,1.4067002050475492,0.6169281034749374,-0.23406264119336015,0.03266298818185549,1.3052637935982998,2.079057659629594,1.4316777544574675,-1.231693521264437,0.14586275241587124,-0.8210796893997737,-0.477925982210267,-0.8097278433485255,-0.31355105293566393
BeastieBoys\07 An Open Letter to NYC.mp3,0.14345584557178337,1.2268164746833994,-0.34775971252635407,0.4385773975682367,-0.8976297684763979,-0.14085865690111923,-0.40818616056369766,0.5773873959694917,0.3717988541268587,0.9401193777396081,1.0488066630017066,0.29068748550295603,-0.023108978466279975,1.0963267255785514,-0.17981195177419745,1.2544697501222217,0.9447626521254153,-0.21164560860645307,-1.1967327239285037,-0.3808648171148071,1.183261339548697,-0.4445227760960231,0.2639312425654249
BeastieBoys\08 Root Down.mp3,-0.9841484325443611,-0.1934132688962309,1.6579593481855557,-1.20215650639128,-0.7922948961626898,-0.05964620598413643,-0.7789868625666511,-1.036458210026431,0.24369322172530772,1.7799177993407125,0.12253163946680698,0.5428371401773542,-0.7455501022497703,-1.2809152377874333,0.3612622981066482,1.0468849753373566,0.17566732418229605,-1.0614182447743978,-0.5919576180503829,-0.6568214302741093,-0.5146295854075542,-1.1312968432216426,-0.0031766258817176466
BeastieBoys\09 Shake Your Rump.mp3,-5.022434719656186,1.441998486904566,0.24177694168625535,0.14007737857253855,-0.8479514937121638,-0.22994268519196728,-0.5070124744902362,-3.442488540606509,-1.2024322410034765,1.871778242569038,0.7094058199366853,0.26357981317764717,-2.031206730984663,-2.490509008419646,-0.11340715263128487,1.547969937286614,0.6638543840480423,0.12199218808195694,-0.471259825836396,-0.41049591366936083,0.5518304135367552,-0.293627565024816,1.1838519556435956
BeastieBoys\10 Intergalactic.mp3,-0.16158396134855493,2.9830718744384894,0.13737495693270463,0.17659308735978374,1.937046776222615,-0.679454427048446,-0.7126987556058064,0.6400789432433384,-1.7337412236597303,0.2246380096818889,2.535425134339911,-0.18216669799807564,0.02441862675014487,0.266946275375325,-2.115473026574913,1.790216034902511,2.369547288072341,0.5173497492608635,-0.12447854203274572,-0.6929847724109444,1.528195903329499,0.4857639692717342,1.5229614173301307
BeastieBoys\11 Sure Shot.mp3,-2.187654410641147,1.6919306245666355,1.5700759704914877,-1.9175332451666758,-0.9121739057530391,-0.4329733609829942,0.2185022695505453,0.35561557361588847,0.533275299835027,0.748151000746815,2.126483656666859,-0.5365140038921496,-0.13611929203772302,-0.7525071868466672,-1.8224661199354713,2.2253944695440673,2.0124973488900726,-0.6013666604388987,-0.2815182946353568,0.24570979841160503,0.31580981216690013,-0.5973954404709273,0.30086503053459174
BeastieBoys\12 Body Movin' (Fatboy Slim Remix).mp3,-0.13737180447940883,0.35065832434062677,0.8010263482823925,-0.17832737922115144,0.4803027522390976,-0.3354933624411311,-0.9670578179656676,-0.22054693722416038,-0.18061471234325752,0.8696639222408759,0.7996650421162448,-0.2821330080066145,-0.3193547587395627,0.24689864721277371,0.5809099955551061,1.0156086383064689,0.8251861790178215,-1.0214513440703719,0.4642149398893206,-0.9797761317745514,0.6051912483993868,-0.9321458834055419,-1.0188224419217746
BeastieBoys\15 Fight for Your Right.mp3,0.3319887276223611,0.8162992104322663,0.7568483911556564,0.3854151873050299,1.2273991143301877,-0.4819885660065247,1.0635371646210336,-0.6553058578171559,-1.052600553254368,-0.3772926234513815,0.8607333939672945,0.8271163811398391,-0.6323165012804887,0.5216051142126668,-0.8056603060010556,1.0771665753897481,0.9259989935848241,1.4433019889178882,-0.6062542009774226,1.1071921877468256,1.8002387535068,1.3466450054723855,-0.4640009685734945
Garrett\01 Smooth Criminal 1.mp3,0.2582469969370713,-0.026234288182801036,0.6002725890709352,-0.6541259632432771,-0.089024856407549,-0.4911319864616164,0.8883099338663983,-0.8354559861551484,-1.1531051640169414,0.4866235212713313,0.21467175215512735,-1.1326290685848939,-0.6065113754324744,1.1411744151661043,0.15834012420970164,0.46268416840975174,0.24215649988937266,1.801525864218143,-1.7244142786836798,0.9921329789008845,0.590882167282178,1.7593182727628751,-0.5349513696225348
Garrett\02 Who Wants to Live Forever_ 1.mp3,0.2801137303050508,-1.2542374774870522,-1.3485350918428758,0.4416899557951309,-0.26558534818847435,-0.32531246044444173,2.4929313451865878,-0.10943581133284651,0.03113385292103388,-0.8948851540970147,-1.288770939008199,-0.33020422646510755,-0.2336290516518251,2.973536637344255,-0.3991720133342526,-1.6503803841829898,-1.270501211917669,0.40810201676682645,-1.3711026077648432,2.5184037378444843,-0.314137213709074,-0.0736668356625647,1.8677171598151654
